slno,BRAND_NAME
B404,SUNDAR DIABETICS DEZIRE PVT. L
B405,ORGANIC INDIA PVT LMT
B406,PRAGATHI INDUSTRIES
B407,IMPORTED FOODS (SUPER GUMMY)
B408,DR.BATRA'S POSITIVE HEALTH PRD
B409,BISK FARM
B410,WINKIES
B411,GLOBAL  CP
B412,VEEBA FOOD SERVICES PVT LTD
B413,BIG SAM SNACKS & FOODS PRIVATE LIMITED
B414,MEHROTRA CONSUMER PRODUCTS PRIVATE LIMIT
B415,TEAME
B416,PAGARIYA FOODS - KWALITY
B417,N.RANGA RAO & SONS (CYCLE AGB)
B418,SAJ FOOD PRODUCTS PVT LTD
B419,TWININGS PRIVATE LIMITED
B420,BHARTI DEL MONTE INDIA PVT LTD
B421,UNICK FOODS
B422,MIDASCARE PHARMACEUTITALS PVT
B423,G M MODULAR
B424,CONNOISSEURS
B425,JAIKA VENTURE
B426,YARDLEY
B427,S.S.SWEETS
B428,UNITED BISCUITS PVT (MCVITIES)
B429,IMPORTED BREAKFAST CEREALS
B430,UNICHARN
B431,GARUDA POLYFLEX FOODS PVT LTD
B432,TATA COFFEE LTD
B433,S NAVEEN FOOD PRODUCT
B434,PRO NATURE ORGANIC FOODS PVT L
B435,GANESH FOOD PRODUCTS (BAYARS)
B436,MERINO INDUSTRIES LIMITED
B437,VINOD FRESHNER PVT LTD
B438,IMPORTED FOODS (PROIDGE)
B439,KDD (INDIA) PVT LTD
B440,JOVEES HERBAL CARE PVT. LTD.
B441,DEV SNACKS
B442,TASTY WORLD PVT LTD
B443,M.K. AGROTECH (SUNPURE)
B444,AMAR TEA PVT LTD
B445,PROSOYA FOODS (INDIA)
B446,MAPRO
B447,RISHAB ENTERPRISES
B448,GTEE BOTANICAL EXTRACT PRIVATE
B449,DELINUTS
B450,HOUSE OF RAMAPURAM FOODS PVT LTD
B451,BELTEK CANADIAN WATER LIMITED
B452,KARNATAKA PLASTIC TRADERS
B453,AJ TEA HOUSE PVT LMT
B454,STC INDIA PVT. LTD
B455,CORAL HEALTH CARE
B456,TIRUMALA MILK PRODUCTS PRIVATE LIMITED
B457,SREE LAKSHMI NUTRI EGGS
B458,RAMA VISION
B459,DUGAR OVERSEAS PVT LTD
B460,ASTER IMPEX PVT LTD
B461,OLIVE TREE TRADING PRIVATE LIMITED
B462,NATURELL PVT LMT
B463,MITTA PAPERS
B464,WINGREENS FARMS PVT LTD
B465,SATVIKK INTERNATIONAL
B466,VIRAL PLASTICS
B467,YOGA HEALTH FOODS LLP
B468,ABAD FISHERIES PVT LTD
B469,LAL LODDOO
B470,MILLS AND BROWNS
B471,MELAT FOOD PRODUCTS
B472,THE RIGHT MOO ORGANIC
B473,GRB DAIRY FOODS PRIVATE LTD.
B474,APP (INDIA)PVT LTD
B475,GLENANDD INDIA
B476,U & V AGRO PRIVATE LIMITED
B477,AKAR SALT
B478,PEONY FOOD PRODUCTS
B479,KALEESUWARI REFINERY-GOLDWINNE
B480,EXCELUS BRAND LLP
B481,TECHNO PLASTIC INDUSTRIES
B482,MANJU
B483,NAFEES
B484,URBAN ZING REFRESHMENTS PRT LT
B485,IMPORTED DETERGENTS
B486,IMPORTED HOUSEHOLD CLEANING
B487,IMPORTED POTS & PANS
B488,IMPORTED PAPER GOODS
B489,BY NATURE
B490,M/S KSTR FOODS
B491,WEST INDIA SOAPS
B492,FORTUNE GOURMET PVT LTD
B493,IMPORTED PICKLES/ CHUTNEY
B494,IMPORTED HOUSEHOLD NEEDS
B495,PATANJALI AYURVEDA LTD
B496,RAKYAN BEVERAGES PVT LTD
B497,VIOLA ESSENCES
B498,ANCHOR
B499,LUMINA CAKES & COOKIES
B500,PELICAN FARM & DAIRY LLP
B501,ARTHURS FOOD COMPANY PVT.LTD
B502,BARAMATHI AGRO
B503,MEHROTRA CONSUMER PRODUCTS PRI
B504,VVF LIMITED
B505,COORG CREMA COFFEE
B506,WESTERN FARM FARESH PVT LTD
B507,NARENDRA KUMAR & CO
B508,SOUTHERN BAKERIES PVT LIMITED
B509,AZAD VERMICELLI
B510,ZIP POUCHS
B511,HARRISON MALAYALAM LTD.
B512,GALLA FOODS PVT LTD.
B513,BALAN NATURAL FOOD(P) LIMITED
B514,JOHN CO
B515,GOOD EARTH
B516,LINDT CHOCOLATE IMPORTED
B517,IMPORTED - GODRED SOFIT
B518,SRI VIJAYA VISAKHA DT.MK.PR.M.
B519,NOURISH
B520,ASHTAPAHTY HERBALS
B521,NEO FOODS PVT LTD.
B522,GREENDOT HEALTH FOODS PVT. LT
B523,GRAVIS FOODS
B524,AGRO GLOBAL RESOURCES (P) LTD
B525,18HERBS ORGANIC LABS PRIVATE L
B526,APEKSHA GOURMET JAR PVT LTD
B527,TRAVEL BLUE PVT LTD
B528,RIPPLE FRAGRANCES PVT LTD
B529,ITC (CLASSMATE)
B530,K.S.GROUP OF INDUSTRIES
B531,MAPED
B532,IMPORTED FOODS (SILK)
B533,ATC BEVERAGES PVT LTD
B534,M/S.SKANTHA TRADERS
B535,VASAVI FOODS
B536,MR GLEAM
B537,DHATU ORGANICS AND NATURAL PRI
B538,MALGUDI FARMS
B539,PRAKRUTHI  HEALTH  PRODUCTS
B540,OMG
B541,ECOVINAL INTERNATIONAL PVT LTD
B542,MCCAIN FOOD INDIA PVT LMT
B543,H S DRY FISH
B544,BROWNIES BASKET
B545,THE RAIBAG TALUKA GRAPE GROWERS PROCESSO
B546,PERIWAL PERFUMERY
B547,CONSUMER MARKETING (FIGARO)
B548,RAVINDRA FOODS PVT LTD
B549,AMAR SIGN CHAWAL LAL
B550,JAIPUR CERAMIC PVT LTD
B551,BIOVELLE FARMS PVT LTD
B552,RAGI FLAKES
B553,HOPPITS
B554,MADUBAN NATURAL PRODUCTS
B555,WAVY  CHIPS
B556,S.G.S - A ONE
B557,SHREE RAJA INDUSTRIES
B558,SARAH FOODS PVT. LTD.
B559,THIASHOLA PLANTATIONS PVT LTD
B560,FUDKOR INDIA PVT LTD (SANJEEV KAPOOR)
B561,OTHERS
B562,KRBL LIMITED (INDIA GATE)
B563,PZ CUSSONS INDIA PVT LTD
B564,MEXICAN
B565,K K ENTERPRISES
B566,GURUKRUPA PRODUCTS
B567,OM BHAKTI SAMAGRI KREATIONS PR
B568,MEREVILE TRUST
B569,UNICHARM INDIA PVT LIMITED
B570,EDELS FARM
B571,OVEO
B572,CZAR
B573,IPM INDIA WHOLESALE TRADING
B574,IMPORTED FOODS (DATES)
B575,JAYCO CHEMICAL INDIA
B576,POPULAR TRADERS
B577,G GUARD
B578,SESA
B579,VICCO LABORATORIES
B580,UNBRANDED
B581,PLASTO BAG INDUSTRIES
B582,LOWKAL HEALTHCARE (P) LTD
B583,FOIL & HOME PRODUCTS PVT LTD
B584,LUXOR NANO TECHNOLOGY PVT LTD
B585,PIRAMAL HEALTH CARE
B586,NISARGALAYA DRUG UNIT PVT LTD
B587,SIMPLE DESIGNS
B588,HECTORE BEVERAGES
B589,SEVEN BEANS COFFEE COMPANY PRIVATE LTD
B590,L B INDUSTRIES
B591,CHROMECHEMIE (SWEE10)
B592,COCO NATION
B593,JUICY JELLY
B594,OCEAN
B595,HALLIMANE
B596,POPULAR APPLAM
B597,HAPPY DAY
B598,SPRAYMINTH
B599,BLUES AND COPPER
B600,NO-P
